----- SERVER 1-----
getNumberOfCountries_16_48082 81
getNumberOfCountries_29_11008 110
getNumberOfCountries_13_70674 75
getNumberOfCountries_4_96232 116
getNumberOfCountries_29_49976 53
getNumberOfCountries_2_98038 142
getNumberOfCountries_27_57179 50
getNumberOfCountries_15_79249 59
getNumberOfCountries_24_83145 42
getNumberOfCountries_11_100555 61
getNumberOfCountries_22_47694 68
getNumberOfCountries_18_89253 47
getNumberOfCountries_15_54220 82
getNumberOfCountries_26_85882 42
getNumberOfCountries_22_18255 106
getNumberOfCountries_2_71922_124524 124
getNumberOfCountries_16_81832 55
getNumberOfCountries_46_56107_154469 28
getNumberOfCountries_17_67610_118016 34
getNumberOfCountries_47_70675_120653 14
getNumberOfCountries_27_95643_150002 14
getNumberOfCountries_28_32277_103480 56
getNumberOfCountries_39_82493_150711 15
getNumberOfCountries_42_104933_172146 9
getNumberOfCountries_24_10632_93230 111
getNumberOfCountries_13_47839_88665 55
getNumberOfCountries_50_61814_74810 5
getNumberOfCountries_46_24815_110014 48
getNumberOfCountries_28_46777_95787 36
getNumberOfCountries_41_61092_76070 7
getNumberOfCountries_30_33178_103561 52
getNumberOfCountries_46_12355_61565 64
getNumberOfCountries_8_95458_144144 41
getNumberOfCountries_10_71155_120084 46
getNumberOfCountries_3_52896_124120 129
getNumberOfCountries_13_93752_119378 17
getNumberOfCountries_6_33657_81906 119
getNumberOfCountries_36_44167_49045 7
getNumberOfCountries_47_91639_110929 4
getNumberOfCountries_41_47082_145504 33
getNumberOfCountries_11_43851_78762 64
getNumberOfCountries_14_76819_83634 9
getNumberOfCountries_33_95227_135460 9
getNumberOfCountries_37_12430_13103 7
getNumberOfCountries_46_68836_166324 21
getNumberOfCountries_1_45133_107899 176
getNumberOfCountries_38_10483_27181 58
getNumberOfCountries_18_80007_91547 9
getNumberOfCountries_30_93495_188001 22
getNumberOfCountries_20_22166_36354 50
getNumberOfCountries_48_70319_160202 17
getNumberOfCountries_13_46209_94355 61
getNumberOfCountries_1_21502_37811 185
getNumberOfCountries_46_92590_104756 3
getNumberOfCountries_17_31270_48875 51
getNumberOfCountries_32_108645_129970 5
getNumberOfCountries_16_58697_77011 27
getNumberOfCountries_45_24170_72366 44
getNumberOfCountries_50_61929_159672 23
getNumberOfCountries_41_64685_151497 23
getNumberOfCountries_41_63867_79086 7
getNumberOfCountries_34_66457_135930 23
getNumberOfCountries_19_90535_121139 14
getNumberOfCountries_15_34457_77909 73
getNumberOfCountries_35_36788_104912 40
getNumberOfCountries_49_53416_76381 12
getNumberOfCountries_4_105040_130084 48
getNumberOfCountries_28_88101_158326 24
getNumberOfCountries_15_35852_128573 80
getNumberOfCountries_23_97970_149345 20
getNumberOfCountries_50_24810_32222 15
getNumberOfCountries_11_57774_150365 69
getNumberOfCountries_39_30390_106691 46
getNumberOfCountries_3_21167_111688 161
getNumberOfCountries_11_52648_88346 51
getNumberOfCountries_5_43655_60590 79
getNumberOfCountries_31_73204_131452 21
getNumberOfCountries_9_25518_92377 126
getNumberOfCountries_1_20983_43271 188
getNumberOfCountries_7_88691_125936 42
getNumberOfCountries_24_49915_107502 41
getNumberOfCountries_19_41276_100497 55
getNumberOfCountries_6_29453_34311 55
getNumberOfCountries_31_16953_33094 48
getNumberOfCountries_11_18615_57537 114
getNumberOfCountries_12_97707_116154 14
getNumberOfCountries_50_54215_124046 22
getNumberOfCountries_9_104875_159991 33
getNumberOfCountries_45_45287_70415 19
getNumberOfCountries_26_35367_76980 47
getNumberOfCountries_13_28039_105047 97
getNumberOfCountries_50_30122_61156 27
getNumberOfCountries_10_103393_200011 44
getNumberOfCountries_18_13040_74284 115
getNumberOfCountries_25_94099_140524 14
getNumberOfCountries_18_75656_167682 37
getNumberOfCountries_15_77779_170993 39
getNumberOfCountries_16_100761_171933 25
getNumberOfCountries_38_69857_140635 21
getNumberOfCountries_16_26141_56697 75
getNumberOfCountries_24_86029_98325 6
getNumberOfCountries_17_75845_118168 27
getNumberOfCountries_16_51743_94833 44
getNumberOfCountries_31_81908_163365 25
getNumberOfCountries_13_40012_130905 80
getNumberOfCountries_20_73592_160904 34
getNumberOfCountries_35_66295_98269 16
getNumberOfCountries_17_66882_67906 2
getNumberOfCountries_14_41702_45770 13
getNumberOfCountries_33_46302_91997 30
getNumberOfCountries_17_58766_144168 46
getNumberOfCountries_26_44132_104884 41
getNumberOfCountries_50_32931_54426 21
getNumberOfCountries_17_46927_96309 51
getNumberOfCountries_32_63390_152912 30
getNumberOfCountries_1_75277_110899 149
getNumberOfCountries_24_49572_80660 32
getNumberOfCountries_18_69904_119037 29
getNumberOfCountries_49_40125_66331 18
getNumberOfCountries_2_42487_106841 149
